"id","pop","lat","lon","year","sex","age","svl","weight","species"
"AA14838","N_Can",-35.0823610361326,149.303766154808,"2008",NA,"J",20.5,3.33,"Tympanocryptis lineata"
"AA14917","N_Can",-35.094651742438,149.288969085326,"2009","F","SA",44.2,4.8,"Tympanocryptis lineata"
"AA14549","W_Can",-35.4620366328314,149.035898277285,"2006","M","A",83.1,5.19,"Tympanocryptis lineata"
"AA14585","W_Can",-35.4293779645243,149.034331575913,"2007","J","SA",45.9,4.21,"Tympanocryptis lineata"
"AA14891","N_Can",-35.0636140793526,149.291130260233,"2009","M","SA",42.8,3.83,"Tympanocryptis lineata"
"AA14916","N_Can",-35.0753878707198,149.291194338043,"2009","M","SA",44.2,3.85,"Tympanocryptis lineata"
"AA14821","W_Can",-35.4397260824154,149.040915606,"2008","J","J",28.9,3.76,"Tympanocryptis lineata"
"AA14927","W_Can",-35.4485555183911,149.053881378848,"2009","M","A",70.4,6.17,"Tympanocryptis lineata"
"AA14563","W_Can",-35.4434269230947,149.04296178788,"2006","M","SA",42.8,3.78,"Tympanocryptis lineata"
"AA67171","N_Can",-35.0824506253413,149.308115579297,"2016","F","A",72.4,5.86,"Tympanocryptis lineata"
"AA14914","W_Can",-35.4395793835823,149.045732950952,"2009","M","A",64.1,5.44,"Tympanocryptis lineata"
"AA14817","W_Can",-35.433250740027,149.050300742206,"2008","J","SA",45.7,2.71,"Tympanocryptis lineata"
"AA14915","N_Can",-35.0735966538955,149.280519725674,"2009","M","A",78.8,5.04,"Tympanocryptis lineata"
"AA15234","N_Can",-35.0781088408021,149.29288147085,"2013","M","SA",47.4,3.96,"Tympanocryptis lineata"
"AA14591","W_Can",-35.4206300493633,149.032107242078,"2007","J","J",37.8,2.33,"Tympanocryptis lineata"
"AA83373","E_Can",-35.4376705724141,149.228402265203,"2020","F","A",83.9,5.7,"Tympanocryptis lineata"
"AA14843","W_Can",-35.4502422924635,149.046580151185,"2008","M","SA",47.9,3.91,"Tympanocryptis lineata"
"AA14942","N_Can",-35.0849980833755,149.287263747684,"2010",NA,"J",21.6,2.61,"Tympanocryptis lineata"
"AA67428","E_Can",-35.4434789870483,149.224086006816,"2018","","A",78.7,5.89,"Tympanocryptis lineata"
"AA14837","W_Can",-35.4355995028448,149.042142292516,"2008","F","SA",46.3,4.04,"Tympanocryptis lineata"
"AA14548","W_Can",-35.4255668248822,149.049966223433,"2006","M","A",77.4,4.29,"Tympanocryptis lineata"
"AA67496","E_Can",-35.4423047670691,149.227426467586,"2018","","SA",39.1,4.1,"Tympanocryptis lineata"
"AA67167","N_Can",-35.0819424488911,149.28028367288,"2016","M","A",80.6,4.47,"Tympanocryptis lineata"
