"id","pop","lat","lon","year","sex","age","svl","weight","species"
"AA24436","Royalla",-35.5115584416746,149.173831540958,"2016","",NA,NA,NA,"Tympanocryptis lineata"
"AA24122","Tuggeranong",-35.4332765916755,149.046531544473,"2007","M","A",51,5.4,"Tympanocryptis lineata"
"AA24159","Tuggeranong",-35.4331038971558,149.039163859451,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24160","Tuggeranong",-35.4308064248704,149.054460481115,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24017","Royalla",-35.5149463763169,149.17976096258,"2006","M?","A",61,6.8,"Tympanocryptis lineata"
"AA24018","Royalla",-35.5174786281116,149.164458588834,"2006","F?","A",50.8,5.76,"Tympanocryptis lineata"
"AA24286","Royalla",-35.4966320671664,149.175134466436,"2011","M","J",31.6,1.56,"Tympanocryptis lineata"
"AA24437","Royalla",-35.4867455277995,149.190423031538,"2016","",NA,NA,NA,"Tympanocryptis lineata"
"AA24356","Royalla",-35.4941033698937,149.179899601427,"2014","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24341","Royalla",-35.4928623892842,149.199588988512,"2013","M","A",49.3,4.39,"Tympanocryptis lineata"
"AA24438","Tuggeranong",-35.4462928029175,149.068434757269,"2016","M","SA",43,3.09,"Tympanocryptis lineata"
"AA24439","Royalla",-35.5306608227235,149.174304213411,"2016","F","J",25,0.8,"Tympanocryptis lineata"
"AA24500","Kowen",-35.331624648236,149.332479312482,"2017","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24123","Kowen",-35.3238135450672,149.33533004317,"2007","F","A",55,5,"Tympanocryptis lineata"
"AA24161","Tuggeranong",-35.426522631049,149.060520617384,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24205","Tuggeranong",-35.4436618630997,149.05220453,"2009","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24019","Royalla",-35.508215204858,149.19522214332,"2006","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24206","Kowen",-35.3178237156901,149.342549742627,"2009","M","SA",43.6,2.9,"Tympanocryptis lineata"
"AA24287","Kowen",-35.3477275590236,149.342582888928,"2011","F?","A",52,6,"Tympanocryptis lineata"
"AA24440","Royalla",-35.4855709619531,149.1686125212,"2016","M","A",49,3.4,"Tympanocryptis lineata"
"AA24357","Tuggeranong",-35.4532913190987,149.055759288361,"2014","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24342","Royalla",-35.4948276773618,149.191678753552,"2013","M","J",30,1.3,"Tympanocryptis lineata"
"AA24441","Royalla",-35.5041323963353,149.17291912667,"2016","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24442","Royalla",-35.4961343147296,149.168618391868,"2016","",NA,NA,NA,"Tympanocryptis lineata"
"AA24501","Kowen",-35.3392374363919,149.333579645046,"2017","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24124","Tuggeranong",-35.4522570160439,149.058265552127,"2007","M","A",52.8,6.14,"Tympanocryptis lineata"
"AA24162","Tuggeranong",-35.4291652431344,149.034608486571,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24207","Tuggeranong",-35.4396388242819,149.035835900294,"2009","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24020","Royalla",-35.5092671357594,149.190894209734,"2006","F?","SA",43.66666667,4.68,"Tympanocryptis lineata"
"AA24271","Royalla",-35.5158779065644,149.188141289861,"2010","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24288","Royalla",-35.5087180540367,149.187240531132,"2011","M","A",56.6,5.8,"Tympanocryptis lineata"
"AA24443","Royalla",-35.5008779093737,149.173300875568,"2016","F","A",57,6.73,"Tympanocryptis lineata"
"AA24358","Tuggeranong",-35.4306430990798,149.043940547399,"2014","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24359","Royalla",-35.502941913956,149.181969307091,"2014","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24444","Royalla",-35.4964074658892,149.175656982883,"2016","",NA,NA,NA,"Tympanocryptis lineata"
"AA24502","Kowen",-35.3411358351314,149.338781875184,"2017","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24125","Tuggeranong",-35.440826220438,149.039860264596,"2007","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24163","Tuggeranong",-35.4290503421165,149.055077430185,"2008","M","A",54,4.7,"Tympanocryptis lineata"
